Scripts,Comment,Tags,Dispose?,,,
256-colors.sh*,Displays 256 colors in Terminal Window,,,,,
Alert.test*,,,,,,
FindTheProblems-master/,A ruby script to go through a list of sites and send a Growl notification if there are any.  Requires Prowl account and prowl on iPhone.  ,,,,,
README,Minuit program README file,,,,,
README.gen_tree,The README file for a perl ‘gen_tree’ script to scan web-sites and display a tree of the site.,,,,,
RemindMe.workflow/,Appears to be the beginnings of an Automator script,,Yes,,,
ScriptSaver 3/,Sets up an automator script to run various screen savers,,Yes,,,
SoftwareReferenceUpdate.sh*,Appears to run rsync to backup Sites/docs to barsoom,,,,,
__MACOSX/,,,,,,
active.perl*,A perl file to display active users,,,,,
alias,The list of aliases sourced by .bash_profile?,,,,,
awk.file,,,,,,
backup*,Start a time machine backup,,Needs to change name of log file on barsoom,,,
backup_db*, Backup a list of database files to ~/backups/sql.  Uses /backups/files.txt as the list of databases to backup.  Usage: backup_db db_password,,,,,
backup_if_missed*,"If latest time machine backup is not today, do a time machine backup.",,,,,
backups.sh*,Run barsoom_backups.sh remotely on barsoom,,,,,
barsoom_backups.sh,"Get a list of daily, weekly, and monthly database backups found on barsoom ( list is hard-coded)",,,,,
barsoom_backup,Start a time capsule backup on barsoom,,,,,
bash_sync.list,A list of files and directories to be used by rsync to create a copy on xanadu?,,,,,
bashlib.sh*,"A set of bash functions that can be sourced.  Provides math, search functions, has error on line 309",,?,,,
bell*,Rings the bell,,,,,
c-programs/,,,,,,
camlsftp.sh*,"Start an sftp program to send files to camlsftp(AWS), asks for password for camlsftp account",,Keep as example,,,
camlssh.sh*,Start an ssh session to camlsftp asking for password,,Keep as example,,,
camlPut,Do a put to caml(AWS),,Keep as example,,,
cc.sh*,Runs gcc for Mac OS X 10.4 on ppm argument,,,,,
cdfuncs*,"Directory manipulation functions, replaces cd",,,,,
check_cvsroot*,,,,,,
check_repos,Seems to run through repositories and do a check_repo,,,,,
check_repo,"Not found, see if on time machine",,Check time machine,,,
clean_extra_monthly_logs.sh*,Looks through a list of directories and cleans out old more than a month log files,,,,,
clean_extra_weekly_logs.sh*,Looks through a list of directories and cleans out old more than a week log files,,,,,
cloc.pl*,Count lines of code,,,,,
colors_and_formatting.sh*,Prints lines and colors with codes,,,,,
composer.phar*,A php file that is part of Composer.  Composer is a package manager for php.  Do I need this?,,,,,
cvsstat*,Prints the stats for a cvs project,,,,,
daily_tasks.sh*,"A set of daily tasks executed from /etc/daily.local, etc.",,,,,
diary*,Adds a diary entry to the bottom of the Journal_YYYY.txt,,,,,
dir_prompt*,"Unclear, ",,Review,,,
dodiff*,Compare the file you’re in with the file given as argument,,,,,
downloadTest.sh*,Runs a test sftp to barsoom and times it.  Has an error in the time statement.,,,,,
dsrd/,,,,,,
env.sh*,Creates a file ~/Desktop/env.txt with all of the ruby entries and their versions.,,,,,
examples/,,,,,,
findhardlinks,Finds hard links and lists them,,,,,
force*,"If you start a process that spawn a LOT of subprocesses, then change to csh and run force with name",,,,,
ftp.sh*,,,"Not found, check time capsule",,,
geek_scripts/,,,,,,
getip.py*,Gets the Ip address being used.,,,,,
gitlog.sh*,Gives a log of the particular file given as argument optional arg how far back,,,,,
gohome*,Plays the gohome.snd.  Audio file open failed,,Review,,,
holdmail*,Removes the .holdmail file used if you are forwarding,,Probably,,,
http_stats*,,,Check time capsule on barsoom,,,
info.sh*,"Gives info on CPU, Memory, disk space, product latest backup",,,,,
install_pip.py*,Installs pip and package installer.  Best to use brew I think,,,,,
